code,label,month,wash_count,customers
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-10,84,133
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-11,82,135
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2024-12,87,152
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2025-01,88,148
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2025-02,73,118
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2025-03,103,147
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2025-04,113,160
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2025-05,98,147
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2025-06,99,138
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2025-07,119,176
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2025-08,124,174
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2025-09,135,201
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2025-10,136,202
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2025-11,108,180
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2025-12,123,209
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2026-01,75,138
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2026-02,66,102
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2026-03,119,170
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2026-04,107,155
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2026-05,126,178
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2026-06,130,170
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2026-07,173,234
00006CZ,"Uherský Brod, Močidla 2873, 688 01 Uherský Brod 1, ORLEN, PENNY",2026-08,25,32
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2021-10,75,107
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2021-11,138,217
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2021-12,145,242
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2022-01,124,186
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2022-02,104,157
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2022-03,137,189
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2022-04,147,210
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2022-05,196,291
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2022-06,208,272
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2022-07,219,301
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2022-08,286,396
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2022-09,226,330
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2022-10,239,385
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2022-11,209,357
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2022-12,173,284
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2023-01,188,303
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2023-02,171,261
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2023-03,195,286
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2023-04,191,275
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2023-05,209,294
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2023-06,215,310
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2023-07,231,309
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2023-08,214,288
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2023-09,241,328
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2023-10,197,287
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2023-11,175,282
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2023-12,188,296
